GameID,SO_y,Avg_SO_per_year,Date,Team,Player,Opposing_Team,Avg_SO_Rolling_10,Avg_SO_Rolling_5,Avg_SO_Rolling_3,Avg_StS_Rolling,Avg_Str_Rolling,Avg_SO_vs_Team,Rolling_Avg_SO_vs_Team,Std_SO_vs_Team,Days_Since_Last_Game,K/BB_lag,pitcher_fatigue,pitcher_momentum,home_away,SO_y_lag,AB_lag,R_x_lag,H_x_lag,RBI_lag,BB_x_lag,SO_x_lag,PA_lag,BA_lag,OBP_lag,SLG_lag,OPS_lag,Pit_x_lag,Str_x_lag,WPA_x_lag,WPA+_lag,acLI_x_lag,PO_lag,A_lag,IP_lag,H_y_lag,R_y_lag,ER_lag,BB_y_lag,HR_lag,ERA_lag,BF_lag,Pit_y_lag,Str_y_lag,Ctct_lag,StS_lag,StL_lag,GB_lag,FB_lag,LD_lag,Unk_lag,GSc_lag,IR_lag,IS_lag,WPA_y_lag,acLI_y_lag,FIP_lag,Recent_Performance_Trend
KCA202204070,1,0,4/7/2022,Kansas City Royals,Zack Greinke,Cleveland Guardians,,,,,,,,,,,1,,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
KCA202204140,0,1,4/14/2022,Kansas City Royals,Zack Greinke,Detroit Tigers,1,1,1,4,56,,,,7,1,2,,home,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5.2,5,1,1,1,0,1.59,22,84,56,33,4,19,8,12,8,0,55,0,0,0.126,1.03,3.392307692,0
KCA202204210,1,0.5,4/21/2022,Kansas City Royals,Zack Greinke,Minnesota Twins,0.5,0.5,0.5,3.5,53,,,,7,0.5,3,-1,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.1,5,2,2,1,0,2.45,21,85,50,33,3,14,8,11,7,0,49,0,0,-0.007,1.1,3.788235294,0
CHA202204270,4,0.666666667,4/27/2022,Kansas City Royals,Zack Greinke,Chicago White Sox,0.666666667,0.666666667,0.666666667,3.333333333,51.66666667,,,,6,0.666666667,4,1,away,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,1,1,1,0,2.25,20,85,49,29,3,17,6,12,6,0,51,0,0,0.135,1.01,3.4,0
SLN202205020,1,1.5,5/2/2022,Kansas City Royals,Zack Greinke,St. Louis Cardinals,1.5,1.5,1.666666667,4.5,52.25,,,,5,2,5,3,away,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,3,3,0,1,2.86,24,82,54,32,8,14,7,12,5,0,54,0,0,-0.067,0.76,4.033333333,0
BAL202205081,3,1.4,5/8/2022,Kansas City Royals,Zack Greinke,Baltimore Orioles,1.4,1.4,2,4.2,55,,,,6,2.333333333,6,-3,away,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,3,1,1,0,1,2.57,20,88,66,43,3,20,8,11,3,0,63,0,0,0.155,0.46,5.033333333,0.4
COL202205130,4,1.666666667,5/13/2022,Kansas City Royals,Zack Greinke,Colorado Rockies,1.666666667,1.8,2.666666667,4.666666667,56.5,,,,5,3.333333333,7,2,away,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.2,10,2,2,0,0,2.67,27,93,64,47,7,10,8,16,5,0,44,0,0,0.085,0.77,2.046153846,0.6
KCA202205180,4,2,5/18/2022,Kansas City Royals,Zack Greinke,Chicago White Sox,2,2.6,2.666666667,5.428571429,57.42857143,4,4,,5,4.666666666,8,1,home,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,8,7,5,0,0,3.52,24,101,63,35,10,18,8,12,5,0,28,0,0,-0.406,0.48,1.295238095,0.5
ARI202205230,5,2.25,5/23/2022,Kansas City Royals,Zack Greinke,Arizona Diamondbacks,2.25,3.2,3.666666667,5.875,57.875,,,,5,4.499999999,9,0,away,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.2,7,2,2,1,0,3.48,25,100,61,33,9,19,13,7,4,0,50,0,0,0.035,0.6,2.238461538,0.3
MIN202205290,2,2.555555556,5/29/2022,Kansas City Royals,Zack Greinke,Minnesota Twins,2.555555556,3.4,4.333333333,6.222222222,57.22222222,1,1,,6,2.875,10,1,away,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,5,7,7,4,2,4.53,20,87,52,26,9,17,5,6,4,0,24,0,0,-0.328,0.33,11.95,0.9
